Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
1,24,1,1,2,5,Privacy,1,0,2,2,2,0,2,1,0,,,,2,,0
1,26,1,1,2,5,Privacy,1,0,2,2,3,1,3,1,1,25,2,1,3,2,0
2,23,2,1,2,2,Money,2,0,2,1,2,0,1,1,0,,,,2,,0
1,25,2,2,2,5,Privacy,1,0,2,1,3,0,1,1,1,20,2,1,3,2,0
2,21,1,2,2,5,Privacy,1,0,2,1,3,0,2,1,1,18,2,1,2,1,0
1,27,2,1,2,2,Family,1,0,2,2,3,0,3,0,0,,,,3,,0
2,20,1,1,2,2,Family,1,0,2,1,2,0,3,1,1,19,2,2,2,1,1
2,20,2,1,1,2,School hostel,1,0,2,2,3,0,1,1,0,,,,2,,0
1,24,1,1,2,3,Spouse,2,0,1,1,2,0,1,1,1,24,1,1,2,2,0
1,27,1,1,2,2,Not to feel lonely,1,0,2,1,3,0,3,1,1,20,2,1,3,2,0
2,23,2,2,2,2,She is my friend duh,1,0,2,1,3,0,2,0,1,20,2,2,2,2,1
1,19,1,1,2,5,Cannot bear to live with someone,1,0,2,1,3,0,2,0,1,16,2,2,1,1,1
1,36,1,1,1,4,Likes each other,1,1,2,1,3,0,3,1,0,,,,3,,0
1,28,1,2,2,2,Course mate,1,0,2,1,2,0,3,1,1,19,2,1,3,1,0
2,18,2,1,2,5,I stay alone,1,0,2,1,3,0,1,1,0,,,,1,,0
1,20,1,1,2,2,Nothing,1,1,2,2,2,0,3,1,0,,,,2,,0
2,23,2,2,2,2,Bcus I can't afford the house rent alone,1,0,1,2,3,0,2,1,1,18,2,1,2,1,0
1,28,1,1,1,2,Hostel mates are necessary since its designed to accommodate more than one person,1,0,1,1,3,0,3,1,1,20,2,1,3,2,0
1,20,2,1,2,2,Conditions oo,1,0,2,1,3,0,3,1,0,,,,2,,0
2,19,1,1,1,2,I am living with my roommates because I stay in the hostel,1,0,2,1,3,0,1,1,0,,,,1,,0
1,25,1,1,1,2,"Because of the financial challenge, as at present cannot afford to rent an apartment",1,0,2,1,2,0,1,1,0,,,,3,,0
2,22,2,2,2,2,I'm leaving with her because we got the apartment together,1,1,2,1,3,0,3,1,1,21,2,1,2,2,0
1,28,1,1,2,2,We are friends of the same character,1,1,2,1,3,0,3,1,1,25,2,1,3,2,0
2,18,2,1,1,5,I live alone because I love my privacy,1,1,2,1,3,0,1,1,1,16,2,1,1,1,0
1,21,1,1,2,1,Family,1,1,2,1,3,0,3,1,0,,,,2,,0
1,25,1,1,2,2,There's no other place for him to stay at that time,1,0,1,2,3,0,1,1,1,19,2,2,3,1,1
2,20,2,1,2,2,To split the money in half,1,0,2,1,3,0,1,1,0,,,,2,,0
1,24,1,1,2,2,Because we're friends,1,1,2,1,3,0,3,1,0,,,,2,,0
2,20,1,2,2,5,Cause where I stay is a bit distant to campus so I stay alone,1,0,2,2,3,0,3,1,0,,,,2,,0
1,25,1,1,2,1,No reason,1,0,2,1,2,0,1,1,0,,,,3,,0
1,25,1,1,2,2,Family friend,1,1,2,1,3,0,2,1,0,,,,3,,0
1,26,1,2,2,5,School,1,0,2,1,2,0,1,1,1,23,2,1,3,2,0
1,22,2,2,2,2,I can't afford to rent an apartment alone,1,0,2,2,3,0,3,0,0,,,,2,,0
1,24,1,1,2,5,I love my individual privacy,1,1,2,2,2,0,3,1,1,20,2,2,2,2,1
1,25,2,2,2,2,Finance,1,0,2,2,3,0,3,0,1,15,2,2,3,1,1
2,25,2,1,2,2,We are sent out of the campus,1,0,2,1,3,0,3,1,0,,,,3,,0
1,23,1,1,2,5,I value my privacy,1,0,2,2,2,0,1,1,1,18,2,2,2,1,1
1,25,2,1,2,5,Nil,1,0,2,1,2,0,3,1,1,20,2,1,3,2,0
2,19,1,2,1,1,They are my parents.,1,0,2,1,3,0,3,1,0,,,,1,,0
1,22,2,1,2,5,Privacy,1,0,2,1,2,0,3,0,1,16,2,1,2,1,0
2,24,1,1,2,5,I like to live alone in school,2,0,1,1,3,0,1,1,1,24,1,1,2,2,0
1,27,1,1,2,2,We're friends/course mates,1,0,2,1,2,0,1,1,0,,,,3,,0
2,20,2,1,1,2,Because I'm in school,1,0,2,1,3,0,3,1,0,,,,2,,0
2,23,1,1,2,5,I did not get accommodation on campus,1,0,1,2,3,0,1,1,0,,,,2,,0
2,21,1,1,2,1,Because I'm still single,1,0,2,2,2,0,3,1,0,,,,2,,0
2,20,2,1,1,4,I live in an hostel with 3 people per room. It's mandatory,1,0,2,1,3,0,1,1,0,,,,2,,0
2,22,1,1,1,1,I'm living with my parent because of the closure of school,1,0,2,1,3,0,1,0,0,,,,2,,0
1,27,2,2,1,2,I am currently living with my roommate because that is the way the hostel is being designed,1,0,1,2,3,0,1,0,1,25,2,1,3,2,0
2,23,2,1,2,5,I'm leaving alone because I?m in school but at home I stay with my parents,1,0,2,1,3,0,2,1,1,18,2,1,2,1,0
1,24,1,1,2,5,Because am no more a kid,1,0,2,1,2,0,3,1,1,21,2,2,2,2,1
2,21,2,1,2,1,That's my preferred arrangement,1,0,2,1,3,1,3,0,1,16,2,2,2,1,1
1,27,1,2,2,5,Because I'm an OAU student currently,1,0,1,2,3,0,3,1,0,,,,3,,0
1,21,1,1,1,1,Got no other place,1,0,1,2,3,0,2,1,1,20,2,1,2,2,0
2,23,1,1,1,2,School as choose,1,0,1,2,2,0,3,0,0,,,,2,,0
1,18,1,1,2,2,They are my friends,1,1,2,1,3,0,3,1,0,,,,1,,0
2,26,2,1,2,5,For privacy,1,0,1,2,2,0,1,1,0,,,,3,,0
