Gender,Age,Religion,Attachment_religion,Living_arrangement,Living_with,Reason_for_living,Marital_status,Undergraduate_MSP,Financial_income,How_frequent,Source_of_income,Transactional_sex,Friends_engagement_in_MSP,MSP_in_school,Had_sexual_intercourse,Age_at_sexual_debut,Who_was_the_person,How_many_partners,age_group,agecat_of_sexual_intercourse,msp_kpi
Male,24,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Unstable,Labor,No,Many,Yes,No,,,,22-26,,No
Male,26,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Unstable,Parent/relatives.,Yes,Few,Yes,Yes,25,Boyfriend/Girlfriend,One,27and above,Late,No
Female,23,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Money,Married,No,Greater-than #5000,Stable,Labor,No,None,Yes,No,,,,22-26,,No
Male,25,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,Yes,20,Boyfriend/Girlfriend,One,27and above,Late,No
Female,21,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Alone.,Privacy,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,Yes,Yes,18,Boyfriend/Girlfriend,One,22-26,Early,No
Male,27,Christianity,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Family,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,Few,No,No,,,,27and above,,No
Female,20,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Family,Single,No,Greater-than #5000,Stable,Labor,No,Few,Yes,Yes,19,Boyfriend/Girlfriend,More than,22-26,Early,Yes
Female,20,Christianity,Frequently attends (more than twice in a month),Campus,Friends/Roommates,School hostel,Single,No,Greater-than #5000,Unstable,Parent/relatives.,No,None,Yes,No,,,,22-26,,No
Male,24,Islamic,Frequently attends (more than twice in a month),Off-campus,Spouse,Spouse,Married,No,Less-than #5000,Stable,Labor,No,None,Yes,Yes,24,Spouse,One,22-26,Late,No
Male,27,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Not to feel lonely,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,Yes,20,Boyfriend/Girlfriend,One,27and above,Late,No
Female,23,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,She is my friend duh,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,20,Boyfriend/Girlfriend,More than,22-26,Late,Yes
Male,19,Islamic,Frequently attends (more than twice in a month),Off-campus,Alone.,Cannot bear to live with someone,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,Many,No,Yes,16,Boyfriend/Girlfriend,More than,17-21,Early,Yes
Male,36,Islamic,Frequently attends (more than twice in a month),Campus,Cohabiting,Likes each other,Single,Yes,Greater-than #5000,Stable,Parent/relatives.,No,Few,Yes,No,,,,27and above,,No
Male,28,Islamic,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,Course mate,Single,No,Greater-than #5000,Stable,Labor,No,Few,Yes,Yes,19,Boyfriend/Girlfriend,One,27and above,Early,No
Female,18,Christianity,Frequently attends (more than twice in a month),Off-campus,Alone.,I stay alone,Single,No,Greater-than #5000,Stable,Parent/relatives.,No,None,Yes,No,,,,17-21,,No
Male,20,Islamic,Frequently attends (more than twice in a month),Off-campus,Friends/Roommates,Nothing,Single,Yes,Greater-than #5000,Unstable,Labor,No,Few,Yes,No,,,,22-26,,No
Female,23,Christianity,Occasionally attends (less than or equal to twice in month),Off-campus,Friends/Roommates,Bcus I can't afford the house rent alone,Single,No,Less-than #5000,Unstable,Parent/relatives.,No,Many,Yes,Yes,18,Boyfriend/Girlfriend,One,22-26,Early,No
